رقم_الطلب,تاريخ_التقديم,تاريخ_الإغلاق,الحي,نوع_الخدمة,التصنيف,قناة_التقديم,الحالة,مدة_المعالجة_أيام,تقييم_الرضا,موسم_ذروة
MKC-2024157,2023-01-01,2023-01-03,الشرائع,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,2.0,,لا
MKC-2028539,2023-01-01,2023-01-05,العتيبية,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,5.0,لا
MKC-2025879,2023-01-01,2023-02-12,الزاهر,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,42.0,4.0,لا
MKC-2026150,2023-01-01,2023-01-04,الششة,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,3.0,5.0,لا
MKC-2026502,2023-01-01,2023-01-21,العزيزية,شكوى مخالفة بناء,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,20.0,,لا
MKC-2028481,2023-01-01,2023-01-10,الحجون,شكوى إشغال طريق,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,9.0,3.0,لا
MKC-2026452,2023-01-01,2023-01-27,الكعكية,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مرفوض,26.0,,لا
MKC-2024836,2023-01-01,2023-01-14,الشوقية,شكوى مركبات مهملة,شكوى,تطبيق بلدي,مغلق - تم الحل,13.0,4.0,لا
MKC-2024220,2023-01-01,2023-01-12,الهجرة,شكوى مخالفة بناء,شكوى,حساب X (تويتر),مغلق - تم الحل,11.0,5.0,لا
MKC-2027641,2023-01-01,2023-01-14,الزاهر,ترخيص بناء,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,13.0,3.0,لا
MKC-2023743,2023-01-02,2023-02-02,الحجون,ترخيص بناء,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,31.0,3.0,لا
MKC-2023740,2023-01-02,2023-01-11,العتيبية,شكوى صرف صحي,شكوى,تطبيق بلدي,محول لجهة أخرى,9.0,,لا
MKC-2026876,2023-01-02,2023-01-22,الهجرة,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مغلق - تم الحل,20.0,3.0,لا
MKC-2027552,2023-01-02,2023-01-08,المسفلة,تجديد رخصة تجارية,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,6.0,4.0,لا
MKC-2026491,2023-01-03,2023-01-04,الجميزة,شكوى إشغال طريق,شكوى,تطبيق بلدي,محول لجهة أخرى,1.0,,لا
MKC-2027314,2023-01-03,2023-01-21,النوارية,شكوى مركبات مهملة,شكوى,حساب X (تويتر),محول لجهة أخرى,18.0,,لا
MKC-2025730,2023-01-03,2023-01-12,الششة,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,9.0,4.0,لا
MKC-2023997,2023-01-03,2023-01-12,جرول,شكوى إشغال طريق,شكوى,المركز الموحد 940,مغلق - تم الحل,9.0,3.0,لا
MKC-2028182,2023-01-03,2023-01-12,العزيزية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,محول لجهة أخرى,9.0,,لا
MKC-2027418,2023-01-03,2023-01-08,الششة,شكوى نظافة عامة,شكوى,المركز الموحد 940,مرفوض,5.0,,لا
MKC-2028177,2023-01-04,2023-01-07,جرول,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,3.0,2.0,لا
MKC-2025584,2023-01-04,2023-01-20,الجميزة,ترخيص تجاري,طلب ترخيص,مكتب فرعي بالحي,محول لجهة أخرى,16.0,,لا
MKC-2028155,2023-01-04,2023-01-30,الزاهر,شكوى مخالفة بناء,شكوى,حساب X (تويتر),مغلق - تم الحل,26.0,4.0,لا
MKC-2024616,2023-01-04,2023-01-08,العزيزية,شكوى باعة متجولين,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,4.0,لا
MKC-2026605,2023-01-04,2023-01-09,العتيبية,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,5.0,5.0,لا
MKC-2026178,2023-01-04,2023-01-10,الرصيفة,شكوى إشغال طريق,شكوى,المركز الموحد 940,مغلق - تم الحل,6.0,5.0,لا
MKC-2026206,2023-01-04,2023-01-12,الزاهر,شكوى صرف صحي,شكوى,حساب X (تويتر),محول لجهة أخرى,8.0,,لا
MKC-2023810,2023-01-04,2023-01-18,الكعكية,شكوى إنارة شوارع,شكوى,حساب X (تويتر),محول لجهة أخرى,14.0,,لا
MKC-2027772,2023-01-05,2023-01-11,أجياد,شكوى إشغال طريق,شكوى,مكتب فرعي بالحي,محول لجهة أخرى,6.0,,لا
MKC-2023774,2023-01-05,2023-01-10,النوارية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,محول لجهة أخرى,5.0,,لا
MKC-2023646,2023-01-05,2023-02-02,النسيم,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,28.0,3.0,لا
MKC-2024313,2023-01-05,2023-01-14,العزيزية,شكوى إشغال طريق,شكوى,المركز الموحد 940,مغلق - تم الحل,9.0,4.0,لا
MKC-2025298,2023-01-05,2023-01-09,الهجرة,شكوى نظافة عامة,شكوى,المركز الموحد 940,محول لجهة أخرى,4.0,,لا
MKC-2028227,2023-01-05,2023-01-18,الششة,طلب صيانة حديقة/ملعب,طلب صيانة,مكتب خدمة العملاء,مقبول ومنفذ,13.0,5.0,لا
MKC-2023422,2023-01-05,2023-01-09,العزيزية,شكوى نظافة عامة,شكوى,المركز الموحد 940,محول لجهة أخرى,4.0,,لا
MKC-2026037,2023-01-05,2023-01-26,الشرائع,ترخيص تجاري,طلب ترخيص,مكتب خدمة العملاء,مغلق - تم الحل,21.0,4.0,لا
MKC-2028423,2023-01-06,2023-01-13,بطحاء قريش,شكوى إشغال طريق,شكوى,مكتب فرعي بالحي,محول لجهة أخرى,7.0,,لا
MKC-2028450,2023-01-06,2023-01-13,الشرائع,شكوى نظافة عامة,شكوى,مكتب فرعي بالحي,مقبول ومنفذ,7.0,5.0,لا
MKC-2024322,2023-01-06,2023-01-09,الششة,شكوى باعة متجولين,شكوى,تطبيق بلدي,مغلق - تم الحل,3.0,5.0,لا
MKC-2027774,2023-01-06,2023-02-05,الشوقية,ترخيص بناء,طلب ترخيص,حساب X (تويتر),مقبول ومنفذ,30.0,3.0,لا
MKC-2027155,2023-01-06,2023-01-14,النسيم,تجديد رخصة تجارية,طلب ترخيص,المركز الموحد 940,محول لجهة أخرى,8.0,,لا
MKC-2027280,2023-01-07,2023-01-15,الشوقية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مرفوض,8.0,,لا
MKC-2026462,2023-01-07,2023-01-26,الشرائع,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,19.0,5.0,لا
MKC-2027990,2023-01-07,2023-02-04,الشرائع,ترخيص بناء,طلب ترخيص,مكتب فرعي بالحي,مقبول ومنفذ,28.0,2.0,لا
MKC-2023051,2023-01-07,2023-01-11,الهجرة,شكوى نظافة عامة,شكوى,تطبيق بلدي,محول لجهة أخرى,4.0,,لا
MKC-2023594,2023-01-07,2023-01-10,جرول,شكوى صرف صحي,شكوى,حساب X (تويتر),مرفوض,3.0,,لا
MKC-2026438,2023-01-07,2023-01-15,الزاهر,شكوى إشغال طريق,شكوى,تطبيق بلدي,مرفوض,8.0,,لا
MKC-2024100,2023-01-07,2023-01-12,الزاهر,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,5.0,3.0,لا
MKC-2025921,2023-01-07,2023-01-11,جرول,شكوى باعة متجولين,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,4.0,لا
MKC-2028030,2023-01-07,2023-01-13,النوارية,تجديد رخصة تجارية,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,6.0,5.0,لا
MKC-2025383,2023-01-08,2023-01-15,المسفلة,شكوى صرف صحي,شكوى,تطبيق بلدي,محول لجهة أخرى,7.0,,لا
MKC-2028921,2023-01-09,2023-01-19,الشوقية,ترخيص بناء,طلب ترخيص,المركز الموحد 940,مرفوض,10.0,,لا
MKC-2027965,2023-01-09,2023-01-13,الزاهر,شكوى إشغال طريق,شكوى,المركز الموحد 940,مغلق - تم الحل,4.0,4.0,لا
MKC-2028593,2023-01-09,2023-01-22,الكعكية,شكوى إنارة شوارع,شكوى,المركز الموحد 940,مغلق - تم الحل,13.0,3.0,لا
MKC-2023765,2023-01-09,2023-01-12,الزاهر,شكوى نظافة عامة,شكوى,المركز الموحد 940,محول لجهة أخرى,3.0,,لا
MKC-2028624,2023-01-10,2023-01-30,الرصيفة,شكوى مركبات مهملة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,20.0,2.0,لا
MKC-2026376,2023-01-10,2023-01-17,المسفلة,شكوى صرف صحي,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,7.0,3.0,لا
MKC-2027837,2023-01-10,2023-01-15,العتيبية,شكوى باعة متجولين,شكوى,حساب X (تويتر),مغلق - تم الحل,5.0,3.0,لا
MKC-2023534,2023-01-10,2023-02-05,النسيم,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,26.0,3.0,لا
MKC-2025939,2023-01-11,2023-01-19,النسيم,تجديد رخصة تجارية,طلب ترخيص,المركز الموحد 940,مغلق - تم الحل,8.0,4.0,لا
MKC-2025393,2023-01-11,2023-01-15,العزيزية,شكوى إنارة شوارع,شكوى,المركز الموحد 940,محول لجهة أخرى,4.0,,لا
MKC-2025957,2023-01-11,2023-01-15,العتيبية,شكوى إشغال طريق,شكوى,تطبيق بلدي,محول لجهة أخرى,4.0,,لا
MKC-2024910,2023-01-11,2023-01-19,العزيزية,ترخيص تجاري,طلب ترخيص,حساب X (تويتر),مقبول ومنفذ,8.0,4.0,لا
MKC-2025538,2023-01-12,2023-02-03,العزيزية,شكوى مخالفة بناء,شكوى,المركز الموحد 940,مغلق - تم الحل,22.0,3.0,لا
MKC-2026320,2023-01-12,,الزاهر,ترخيص بناء,طلب ترخيص,المركز الموحد 940,قيد المعالجة,,,لا
MKC-2025718,2023-01-12,2023-01-24,الشوقية,شكوى صرف صحي,شكوى,المركز الموحد 940,محول لجهة أخرى,12.0,,لا
MKC-2028304,2023-01-12,2023-01-16,الشوقية,شكوى نظافة عامة,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,4.0,5.0,لا
MKC-2023394,2023-01-12,2023-01-20,الزاهر,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,8.0,4.0,لا
MKC-2026217,2023-01-12,2023-01-24,الششة,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مغلق - تم الحل,12.0,4.0,لا
MKC-2023840,2023-01-12,2023-01-13,النسيم,شكوى نظافة عامة,شكوى,مكتب فرعي بالحي,مقبول ومنفذ,1.0,4.0,لا
MKC-2024951,2023-01-12,2023-01-23,الكعكية,شكوى إنارة شوارع,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,11.0,5.0,لا
MKC-2027304,2023-01-12,2023-01-22,أجياد,شكوى إشغال طريق,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,10.0,,لا
MKC-2023204,2023-01-13,2023-02-01,الشوقية,شكوى مخالفة بناء,شكوى,تطبيق بلدي,محول لجهة أخرى,19.0,,لا
MKC-2027417,2023-01-13,,الشوقية,ترخيص تجاري,طلب ترخيص,مكتب خدمة العملاء,قيد المعالجة,,,لا
MKC-2026995,2023-01-13,2023-01-20,الهجرة,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,7.0,4.0,لا
MKC-2025114,2023-01-13,2023-01-19,أجياد,ترخيص لافتات إعلانية,طلب ترخيص,حساب X (تويتر),محول لجهة أخرى,6.0,,لا
MKC-2027221,2023-01-13,2023-01-19,الجميزة,تجديد رخصة تجارية,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,6.0,5.0,لا
MKC-2025022,2023-01-13,2023-01-19,الحجون,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,6.0,5.0,لا
MKC-2023518,2023-01-14,2023-01-15,العتيبية,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,1.0,4.0,لا
MKC-2028685,2023-01-14,2023-01-19,بطحاء قريش,شكوى إشغال طريق,شكوى,تطبيق بلدي,مرفوض,5.0,,لا
MKC-2028960,2023-01-14,2023-01-23,الشوقية,تجديد رخصة تجارية,طلب ترخيص,حساب X (تويتر),مقبول ومنفذ,9.0,3.0,لا
MKC-2028661,2023-01-15,2023-01-21,العزيزية,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مقبول ومنفذ,6.0,3.0,لا
MKC-2027815,2023-01-15,,النسيم,شكوى إشغال طريق,شكوى,حساب X (تويتر),قيد المعالجة,,,لا
MKC-2026800,2023-01-15,2023-01-21,الزاهر,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,6.0,3.0,لا
MKC-2025570,2023-01-15,2023-01-17,الحجون,شكوى إنارة شوارع,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,2.0,3.0,لا
MKC-2025051,2023-01-15,2023-01-21,الشوقية,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,6.0,4.0,لا
